scenario,cache_state,sql_limit,archetype,score
balanced,warm,3000,dataThroughTtp-cached,0.855113
balanced,warm,3000,computeToData-cached,0.795392
balanced,warm,3000,dataThroughTtp,0.213820
balanced,warm,3000,dataThroughTtp-compressed,0.212657
balanced,warm,3000,computeToData,0.150382
balanced,warm,3000,computeToData-compressed,0.149077
balanced,cold,3000,dataThroughTtp,0.602223
balanced,cold,3000,dataThroughTtp-cached,0.602223
balanced,cold,3000,dataThroughTtp-compressed,0.601277
balanced,cold,3000,computeToData,0.400852
balanced,cold,3000,computeToData-cached,0.400852
balanced,cold,3000,computeToData-compressed,0.397777
balanced,warm,6000,dataThroughTtp-cached,0.876529
balanced,warm,6000,computeToData-cached,0.825225
balanced,warm,6000,dataThroughTtp-compressed,0.175440
balanced,warm,6000,dataThroughTtp,0.175300
balanced,warm,6000,computeToData-compressed,0.152029
balanced,warm,6000,computeToData,0.150695
balanced,cold,6000,dataThroughTtp-compressed,0.562550
balanced,cold,6000,dataThroughTtp,0.559445
balanced,cold,6000,dataThroughTtp-cached,0.559445
balanced,cold,6000,computeToData-compressed,0.441204
balanced,cold,6000,computeToData,0.438988
balanced,cold,6000,computeToData-cached,0.438988
balanced,warm,9000,dataThroughTtp-cached,0.894544
balanced,warm,9000,computeToData-cached,0.850401
balanced,warm,9000,computeToData-compressed,0.173421
balanced,warm,9000,computeToData,0.167674
balanced,warm,9000,dataThroughTtp-compressed,0.150447
balanced,warm,9000,dataThroughTtp,0.150031
balanced,cold,9000,computeToData-compressed,0.510170
balanced,cold,9000,computeToData,0.501972
balanced,cold,9000,computeToData-cached,0.501972
balanced,cold,9000,dataThroughTtp-compressed,0.496932
balanced,cold,9000,dataThroughTtp,0.492223
balanced,cold,9000,dataThroughTtp-cached,0.492223
balanced,warm,12000,dataThroughTtp-cached,0.908064
balanced,warm,12000,computeToData-cached,0.869463
balanced,warm,12000,computeToData-compressed,0.197724
balanced,warm,12000,computeToData,0.187421
balanced,warm,12000,dataThroughTtp-compressed,0.131500
balanced,warm,12000,dataThroughTtp,0.130897
balanced,cold,12000,computeToData-compressed,0.577289
balanced,cold,12000,computeToData,0.563775
balanced,cold,12000,computeToData-cached,0.563775
balanced,cold,12000,dataThroughTtp-compressed,0.430963
balanced,cold,12000,dataThroughTtp,0.425166
balanced,cold,12000,dataThroughTtp-cached,0.425166
balanced,warm,15000,dataThroughTtp-cached,0.918508
balanced,warm,15000,computeToData-cached,0.884327
balanced,warm,15000,computeToData-compressed,0.218726
balanced,warm,15000,computeToData,0.204748
balanced,warm,15000,dataThroughTtp-compressed,0.116726
balanced,warm,15000,dataThroughTtp,0.115979
balanced,cold,15000,computeToData-compressed,0.631957
balanced,cold,15000,computeToData,0.614989
balanced,cold,15000,computeToData-cached,0.614989
balanced,cold,15000,dataThroughTtp-compressed,0.376613
balanced,cold,15000,dataThroughTtp,0.370208
balanced,cold,15000,dataThroughTtp-cached,0.370208
balanced,warm,18000,dataThroughTtp-cached,0.926777
balanced,warm,18000,computeToData-cached,0.896212
balanced,warm,18000,computeToData-compressed,0.235710
balanced,warm,18000,computeToData,0.218881
balanced,warm,18000,dataThroughTtp-compressed,0.104923
balanced,warm,18000,dataThroughTtp,0.104052
balanced,cold,18000,computeToData-compressed,0.675137
balanced,cold,18000,computeToData,0.655862
balanced,cold,18000,computeToData-cached,0.655862
balanced,cold,18000,dataThroughTtp-compressed,0.333469
balanced,cold,18000,dataThroughTtp,0.326712
balanced,cold,18000,dataThroughTtp-cached,0.326712
balanced,warm,21000,dataThroughTtp-cached,0.933461
balanced,warm,21000,computeToData-cached,0.905917
balanced,warm,21000,computeToData-compressed,0.249205
balanced,warm,21000,computeToData,0.230161
balanced,warm,21000,dataThroughTtp-compressed,0.095301
balanced,warm,21000,dataThroughTtp,0.094314
balanced,cold,21000,computeToData-compressed,0.709452
balanced,cold,21000,computeToData,0.688450
balanced,cold,21000,computeToData-cached,0.688450
balanced,cold,21000,dataThroughTtp-compressed,0.299123
balanced,cold,21000,dataThroughTtp,0.292128
balanced,cold,21000,dataThroughTtp-cached,0.292128
balanced,warm,24000,dataThroughTtp-cached,0.938960
balanced,warm,24000,computeToData-cached,0.913984
balanced,warm,24000,computeToData-compressed,0.259886
balanced,warm,24000,computeToData,0.239104
balanced,warm,24000,dataThroughTtp-compressed,0.087320
balanced,warm,24000,dataThroughTtp,0.086221
balanced,cold,24000,computeToData-compressed,0.737134
balanced,cold,24000,computeToData,0.714682
balanced,cold,24000,computeToData-cached,0.714682
balanced,cold,24000,dataThroughTtp-compressed,0.271418
balanced,cold,24000,dataThroughTtp,0.264228
balanced,cold,24000,dataThroughTtp-cached,0.264228
balanced,warm,27000,dataThroughTtp-cached,0.943550
balanced,warm,27000,computeToData-cached,0.920791
balanced,warm,27000,computeToData-compressed,0.268334
balanced,warm,27000,computeToData,0.246178
balanced,warm,27000,dataThroughTtp-compressed,0.080602
balanced,warm,27000,dataThroughTtp,0.079394
balanced,cold,27000,computeToData-compressed,0.759834
balanced,cold,27000,computeToData,0.736054
balanced,cold,27000,computeToData-cached,0.736054
balanced,cold,27000,dataThroughTtp-compressed,0.248729
balanced,cold,27000,dataThroughTtp,0.241354
balanced,cold,27000,dataThroughTtp-cached,0.241354
balanced,warm,30000,dataThroughTtp-cached,0.947432
balanced,warm,30000,computeToData-cached,0.926610
balanced,warm,30000,computeToData-compressed,0.275009
balanced,warm,30000,computeToData,0.251759
balanced,warm,30000,dataThroughTtp-compressed,0.074878
balanced,warm,30000,dataThroughTtp,0.073558
balanced,cold,30000,computeToData-compressed,0.778737
balanced,cold,30000,computeToData,0.753680
balanced,cold,30000,computeToData-cached,0.753680
balanced,cold,30000,dataThroughTtp-compressed,0.229880
balanced,cold,30000,dataThroughTtp,0.222313
balanced,cold,30000,dataThroughTtp-cached,0.222313
energy,warm,3000,dataThroughTtp-cached,0.957633
energy,warm,3000,computeToData-cached,0.938659
energy,warm,3000,dataThroughTtp,0.119251
energy,warm,3000,dataThroughTtp-compressed,0.109433
energy,warm,3000,computeToData,0.048910
energy,warm,3000,computeToData-compressed,0.042383
energy,cold,3000,dataThroughTtp,0.733598
energy,cold,3000,dataThroughTtp-cached,0.733598
energy,cold,3000,dataThroughTtp-compressed,0.710042
energy,cold,3000,computeToData,0.328636
energy,cold,3000,computeToData-cached,0.328636
energy,cold,3000,computeToData-compressed,0.266402
energy,warm,6000,dataThroughTtp-cached,0.965433
energy,warm,6000,computeToData-cached,0.951333
energy,warm,6000,computeToData,0.052951
energy,warm,6000,computeToData-compressed,0.051025
energy,warm,6000,dataThroughTtp,0.049918
energy,warm,6000,dataThroughTtp-compressed,0.048693
energy,cold,6000,dataThroughTtp,0.519368
energy,cold,6000,dataThroughTtp-cached,0.519368
energy,cold,6000,computeToData,0.512339
energy,cold,6000,computeToData-cached,0.512339
energy,cold,6000,computeToData-compressed,0.502884
energy,cold,6000,dataThroughTtp-compressed,0.488547
energy,warm,9000,dataThroughTtp-cached,0.971676
energy,warm,9000,computeToData-cached,0.961786
energy,warm,9000,computeToData-compressed,0.110090
energy,warm,9000,computeToData,0.101337
energy,warm,9000,dataThroughTtp,0.039175
energy,warm,9000,dataThroughTtp-compressed,0.038258
energy,cold,9000,computeToData-compressed,0.735624
energy,cold,9000,computeToData,0.714056
energy,cold,9000,computeToData-cached,0.714056
energy,cold,9000,dataThroughTtp,0.281248
energy,cold,9000,dataThroughTtp-cached,0.281248
energy,cold,9000,dataThroughTtp-compressed,0.265283
energy,warm,12000,dataThroughTtp-cached,0.975372
energy,warm,12000,computeToData-cached,0.968552
energy,warm,12000,computeToData-compressed,0.150992
energy,warm,12000,computeToData,0.134492
energy,warm,12000,dataThroughTtp,0.032240
energy,warm,12000,dataThroughTtp-compressed,0.031511
energy,cold,12000,computeToData-compressed,0.823339
energy,cold,12000,computeToData,0.786600
energy,cold,12000,computeToData-cached,0.786600
energy,cold,12000,dataThroughTtp,0.185744
energy,cold,12000,dataThroughTtp-cached,0.185744
energy,cold,12000,dataThroughTtp-compressed,0.177305
energy,warm,15000,dataThroughTtp-cached,0.977716
energy,warm,15000,computeToData-cached,0.973287
energy,warm,15000,computeToData-compressed,0.177983
energy,warm,15000,computeToData,0.156228
energy,warm,15000,dataThroughTtp,0.027396
energy,warm,15000,dataThroughTtp-compressed,0.026797
energy,cold,15000,computeToData-compressed,0.866565
energy,cold,15000,computeToData,0.816295
energy,cold,15000,computeToData-cached,0.816295
energy,cold,15000,dataThroughTtp,0.139497
energy,cold,15000,dataThroughTtp-cached,0.139497
energy,cold,15000,dataThroughTtp-compressed,0.134037
energy,warm,18000,dataThroughTtp-cached,0.979274
energy,warm,18000,computeToData-cached,0.976785
energy,warm,18000,computeToData-compressed,0.196263
energy,warm,18000,computeToData,0.170769
energy,warm,18000,dataThroughTtp,0.023822
energy,warm,18000,dataThroughTtp-compressed,0.023321
energy,cold,18000,computeToData-compressed,0.892093
energy,cold,18000,computeToData,0.829793
energy,cold,18000,computeToData-cached,0.829793
energy,cold,18000,dataThroughTtp,0.112477
energy,cold,18000,dataThroughTtp-cached,0.112477
energy,cold,18000,dataThroughTtp-compressed,0.108530
energy,warm,21000,dataThroughTtp-cached,0.980348
energy,warm,21000,computeToData-cached,0.979475
energy,warm,21000,computeToData-compressed,0.208834
energy,warm,21000,computeToData,0.180579
energy,warm,21000,dataThroughTtp,0.021078
energy,warm,21000,dataThroughTtp-compressed,0.020654
energy,cold,21000,computeToData-compressed,0.908886
energy,cold,21000,computeToData,0.836190
energy,cold,21000,computeToData-cached,0.836190
energy,cold,21000,dataThroughTtp,0.094829
energy,cold,21000,dataThroughTtp-cached,0.094829
energy,cold,21000,dataThroughTtp-compressed,0.091787
energy,warm,24000,computeToData-cached,0.981608
energy,warm,24000,dataThroughTtp-cached,0.981110
energy,warm,24000,computeToData-compressed,0.217477
energy,warm,24000,computeToData,0.187130
energy,warm,24000,dataThroughTtp,0.018905
energy,warm,24000,dataThroughTtp-compressed,0.018544
energy,cold,24000,computeToData-compressed,0.920741
energy,cold,24000,computeToData,0.839106
energy,cold,24000,computeToData-cached,0.839106
energy,cold,24000,dataThroughTtp,0.082436
energy,cold,24000,dataThroughTtp-cached,0.082436
energy,cold,24000,dataThroughTtp-compressed,0.079997
energy,warm,27000,computeToData-cached,0.983340
energy,warm,27000,dataThroughTtp-cached,0.981664
energy,warm,27000,computeToData-compressed,0.223308
energy,warm,27000,computeToData,0.191346
energy,warm,27000,dataThroughTtp,0.017142
energy,warm,27000,dataThroughTtp-compressed,0.016836
energy,cold,27000,computeToData-compressed,0.929534
energy,cold,27000,computeToData,0.840151
energy,cold,27000,computeToData-cached,0.840151
energy,cold,27000,dataThroughTtp,0.073281
energy,cold,27000,dataThroughTtp-cached,0.073281
energy,cold,27000,dataThroughTtp-compressed,0.071279
energy,warm,30000,computeToData-cached,0.984775
energy,warm,30000,dataThroughTtp-cached,0.982075
energy,warm,30000,computeToData-compressed,0.227060
energy,warm,30000,computeToData,0.193836
energy,warm,30000,dataThroughTtp,0.015682
energy,warm,30000,dataThroughTtp-compressed,0.015425
energy,cold,30000,computeToData-compressed,0.936298
energy,cold,30000,computeToData,0.840108
energy,cold,30000,computeToData-cached,0.840108
energy,cold,30000,dataThroughTtp,0.066264
energy,cold,30000,dataThroughTtp-cached,0.066264
energy,cold,30000,dataThroughTtp-compressed,0.064597
latency,warm,3000,dataThroughTtp-cached,0.970427
latency,warm,3000,computeToData-cached,0.957197
latency,warm,3000,computeToData,0.046914
latency,warm,3000,computeToData-compressed,0.046887
latency,warm,3000,dataThroughTtp,0.043862
latency,warm,3000,dataThroughTtp-compressed,0.043810
latency,cold,3000,computeToData,0.511084
latency,cold,3000,computeToData-cached,0.511084
latency,cold,3000,computeToData-compressed,0.508499
latency,cold,3000,dataThroughTtp-compressed,0.501065
latency,cold,3000,dataThroughTtp,0.491501
latency,cold,3000,dataThroughTtp-cached,0.491501
latency,warm,6000,dataThroughTtp-cached,0.974290
latency,warm,6000,computeToData-cached,0.963859
latency,warm,6000,computeToData-compressed,0.110906
latency,warm,6000,computeToData,0.106883
latency,warm,6000,dataThroughTtp-compressed,0.036914
latency,warm,6000,dataThroughTtp,0.036157
latency,cold,6000,computeToData-compressed,0.748007
latency,cold,6000,computeToData,0.739825
latency,cold,6000,computeToData-cached,0.739825
latency,cold,6000,dataThroughTtp-compressed,0.266348
latency,cold,6000,dataThroughTtp,0.252083
latency,cold,6000,dataThroughTtp-cached,0.252083
latency,warm,9000,dataThroughTtp-cached,0.976839
latency,warm,9000,computeToData-cached,0.968749
latency,warm,9000,computeToData-compressed,0.161502
latency,warm,9000,computeToData,0.154396
latency,warm,9000,dataThroughTtp-compressed,0.032848
latency,warm,9000,dataThroughTtp,0.031266
latency,cold,9000,computeToData-compressed,0.833784
latency,cold,9000,computeToData,0.823974
latency,cold,9000,computeToData-cached,0.823974
latency,cold,9000,dataThroughTtp-compressed,0.180836
latency,cold,9000,dataThroughTtp,0.166323
latency,cold,9000,dataThroughTtp-cached,0.166323
latency,warm,12000,dataThroughTtp-cached,0.978554
latency,warm,12000,computeToData-cached,0.972476
latency,warm,12000,computeToData-compressed,0.200263
latency,warm,12000,computeToData,0.190806
latency,warm,12000,dataThroughTtp-compressed,0.030075
latency,warm,12000,dataThroughTtp,0.027537
latency,cold,12000,computeToData-compressed,0.876317
latency,cold,12000,computeToData,0.864768
latency,cold,12000,computeToData-cached,0.864768
latency,cold,12000,dataThroughTtp-compressed,0.139596
latency,cold,12000,dataThroughTtp,0.123765
