sql_limit,varied,weight,archetype,score
10000,energy,0.000000,dataThroughTtp-cached,0.874701
10000,energy,0.000000,computeToData-cached,0.823002
10000,energy,0.000000,computeToData-compressed,0.210516
10000,energy,0.000000,computeToData,0.204564
10000,energy,0.000000,dataThroughTtp-compressed,0.178666
10000,energy,0.000000,dataThroughTtp,0.176998
10000,energy,0.050000,dataThroughTtp-cached,0.875573
10000,energy,0.050000,computeToData-cached,0.824205
10000,energy,0.050000,computeToData-compressed,0.209435
10000,energy,0.050000,computeToData,0.203435
10000,energy,0.050000,dataThroughTtp-compressed,0.177429
10000,energy,0.050000,dataThroughTtp,0.175813
10000,energy,0.100000,dataThroughTtp-cached,0.878446
10000,energy,0.100000,computeToData-cached,0.828171
10000,energy,0.100000,computeToData-compressed,0.205907
10000,energy,0.100000,computeToData,0.199749
10000,energy,0.100000,dataThroughTtp-compressed,0.173355
10000,energy,0.100000,dataThroughTtp,0.171907
10000,energy,0.150000,dataThroughTtp-cached,0.883523
10000,energy,0.150000,computeToData-cached,0.835189
10000,energy,0.150000,computeToData-compressed,0.199800
10000,energy,0.150000,computeToData,0.193360
10000,energy,0.150000,dataThroughTtp-compressed,0.166160
10000,energy,0.150000,dataThroughTtp,0.164984
10000,energy,0.200000,dataThroughTtp-cached,0.890681
10000,energy,0.200000,computeToData-cached,0.845106
10000,energy,0.200000,computeToData-compressed,0.191471
10000,energy,0.200000,computeToData,0.184629
10000,energy,0.200000,dataThroughTtp-compressed,0.156020
10000,energy,0.200000,dataThroughTtp,0.155184
10000,energy,0.250000,dataThroughTtp-cached,0.899466
10000,energy,0.250000,computeToData-cached,0.857321
10000,energy,0.250000,computeToData-compressed,0.181706
10000,energy,0.250000,computeToData,0.174361
10000,energy,0.250000,dataThroughTtp-compressed,0.143570
10000,energy,0.250000,dataThroughTtp,0.143085
10000,energy,0.300000,dataThroughTtp-cached,0.909233
10000,energy,0.300000,computeToData-cached,0.870970
10000,energy,0.300000,computeToData-compressed,0.171477
10000,energy,0.300000,computeToData,0.163555
10000,energy,0.300000,dataThroughTtp-compressed,0.129704
10000,energy,0.300000,dataThroughTtp,0.129534
10000,energy,0.350000,dataThroughTtp-cached,0.919325
10000,energy,0.350000,computeToData-cached,0.885167
10000,energy,0.350000,computeToData-compressed,0.161653
10000,energy,0.350000,computeToData,0.153114
10000,energy,0.350000,dataThroughTtp,0.115410
10000,energy,0.350000,dataThroughTtp-compressed,0.115328
10000,energy,0.400000,dataThroughTtp-cached,0.929213
10000,energy,0.400000,computeToData-cached,0.899190
10000,energy,0.400000,computeToData-compressed,0.152836
10000,energy,0.400000,computeToData,0.143673
10000,energy,0.400000,dataThroughTtp,0.101435
10000,energy,0.400000,dataThroughTtp-compressed,0.101166
10000,energy,0.450000,dataThroughTtp-cached,0.938542
10000,energy,0.450000,computeToData-cached,0.912549
10000,energy,0.450000,computeToData-compressed,0.145326
10000,energy,0.450000,computeToData,0.135569
10000,energy,0.450000,dataThroughTtp,0.088107
10000,energy,0.450000,dataThroughTtp-compressed,0.087704
10000,energy,0.500000,dataThroughTtp-cached,0.947115
10000,energy,0.500000,computeToData-cached,0.924971
10000,energy,0.500000,computeToData-compressed,0.139186
10000,energy,0.500000,computeToData,0.128890
10000,energy,0.500000,dataThroughTtp,0.075709
10000,energy,0.500000,dataThroughTtp-compressed,0.075209
